"","clusters","diss","algorithm","method","PBC","HG","ASWw","HC"
"1",2,"DHD","HCM","Ward",0.597,0.712,0.275,0.129
"2",2,"DHD","HCM","Beta",0.572,0.679,0.268,0.146
"3",2,"OMS","HCM","Ward",0.679,0.807,0.328,0.083
"4",2,"OMS","HCM","Beta",0.673,0.79,0.323,0.093
"5",2,"DHD","PAM","Ward",0.628,0.766,0.285,0.104
"6",2,"DHD","PAM","Beta",0.628,0.766,0.285,0.104
"7",2,"OMS","PAM","Ward",0.696,0.826,0.332,0.076
"8",2,"OMS","PAM","Beta",0.696,0.826,0.332,0.076
"9",3,"DHD","HCM","Ward",0.681,0.808,0.281,0.084
"10",3,"DHD","HCM","Beta",0.631,0.739,0.274,0.112
"11",3,"OMS","HCM","Ward",0.69,0.813,0.295,0.083
"12",3,"OMS","HCM","Beta",0.671,0.784,0.249,0.109
"13",3,"DHD","PAM","Ward",0.398,0.502,0.113,0.267
"14",3,"DHD","PAM","Beta",0.398,0.502,0.113,0.267
"15",3,"OMS","PAM","Ward",0.718,0.842,0.296,0.074
"16",3,"OMS","PAM","Beta",0.718,0.842,0.296,0.074
"17",4,"DHD","HCM","Ward",0.498,0.623,0.135,0.198
"18",4,"DHD","HCM","Beta",0.7,0.83,0.25,0.078
"19",4,"OMS","HCM","Ward",0.697,0.823,0.22,0.092
"20",4,"OMS","HCM","Beta",0.704,0.835,0.215,0.086
"21",4,"DHD","PAM","Ward",0.462,0.6,0.103,0.219
"22",4,"DHD","PAM","Beta",0.462,0.6,0.103,0.219
"23",4,"OMS","PAM","Ward",0.514,0.639,0.1,0.193
"24",4,"OMS","PAM","Beta",0.514,0.639,0.1,0.193
"25",5,"DHD","HCM","Ward",0.54,0.707,0.117,0.157
"26",5,"DHD","HCM","Beta",0.717,0.859,0.235,0.067
"27",5,"OMS","HCM","Ward",0.708,0.845,0.206,0.082
"28",5,"OMS","HCM","Beta",0.704,0.837,0.204,0.085
"29",5,"DHD","PAM","Ward",0.549,0.717,0.127,0.154
"30",5,"DHD","PAM","Beta",0.492,0.641,0.11,0.197
"31",5,"OMS","PAM","Ward",0.42,0.582,0.102,0.221
"32",5,"OMS","PAM","Beta",0.42,0.582,0.102,0.221
"33",6,"DHD","HCM","Ward",0.543,0.716,0.103,0.153
"34",6,"DHD","HCM","Beta",0.732,0.882,0.234,0.058
"35",6,"OMS","HCM","Ward",0.554,0.721,0.073,0.148
"36",6,"OMS","HCM","Beta",0.735,0.888,0.218,0.06
"37",6,"DHD","PAM","Ward",0.417,0.581,0.093,0.228
"38",6,"DHD","PAM","Beta",0.417,0.581,0.093,0.228
"39",6,"OMS","PAM","Ward",0.357,0.53,0.089,0.247
"40",6,"OMS","PAM","Beta",0.361,0.532,0.082,0.247
